manufacturer,turbine_type,has_power_curve,has_cp_curve
Adwen/Areva,AD116/5000,True,False
Enercon,E-101/3050,True,True
Enercon,E-101/3500,True,True
Enercon,E-115/3000,True,True
Enercon,E-115/3200,True,True
Enercon,E-126/4200,True,True
Enercon,E-126/7500,True,False
Enercon,E-126/7580,True,False
Enercon,E-141/4200,True,True
Enercon,E-53/800,True,True
Enercon,E-70/2000,True,False
Enercon,E-70/2300,True,True
Enercon,E-82/2000,True,True
Enercon,E-82/2300,True,True
Enercon,E-82/2350,True,True
Enercon,E-82/3000,True,True
Enercon,E-92/2350,True,True
Enercon,E48/800,True,True
Eno,ENO100/2200,True,True
Eno,ENO114/3500,True,True
Eno,ENO126/3500,True,True
GE Wind,GE100/2500,True,False
GE Wind,GE103/2750,True,True
GE Wind,GE120/2500,True,True
GE Wind,GE120/2750,True,True
GE Wind,GE130/3200,True,True
Nordex,N100/2500,True,True
Nordex,N117/2400,True,True
Nordex,N131/3000,True,True
Nordex,N131/3300,True,True
Nordex,N131/3600,True,True
Nordex,N90/2500,True,True
Senvion/REpower,MM100/2000,True,True
Senvion/REpower,MM92/2050,True,False
Senvion/REpower,S104/3400,True,False
Senvion/REpower,S114/3200,True,False
Senvion/REpower,S114/3400,True,True
Senvion/REpower,S122/3000,True,True
Senvion/REpower,S122/3200,True,True
Senvion/REpower,S126/6150,True,False
Senvion/REpower,S152/6330,True,False
Siemens,SWT113/2300,True,True
Siemens,SWT113/3200,True,True
Siemens,SWT120/3600,True,True
Siemens,SWT130/3300,True,True
Siemens,SWT130/3600,True,True
Siemens,SWT142/3150,True,True
Vensys,VS112/2500,True,False
Vestas,V100/1800,True,True
Vestas,V100/1800/GS,True,True
Vestas,V112/3000,True,True
Vestas,V112/3075,True,True
Vestas,V112/3300,True,True
Vestas,V112/3450,True,True
Vestas,V117/3300,True,True
Vestas,V117/3450,True,True
Vestas,V117/3600,True,True
Vestas,V126/3000,True,True
Vestas,V126/3300,True,True
Vestas,V126/3450,True,True
Vestas,V164/8000,True,False
Vestas,V164/9500,True,False
Vestas,V80/2000,True,False
Vestas,V90/2000,True,True
Vestas,V90/2000/GS,True,True
Vestas,V90/3000,True,False
aerodyn,SCD168/8000,True,False
